alarm_id,lot_hist_id,lot_id,wafer_no,chamber_id,equipment_id,sensor_id,recipe_step_no,recipe_step_name,rule_id,judgement,hit_cnt,detail,occurred_at
ALM-0001,LH-00052,LOT-260003,2,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R02_OOC,OOC,2,OOC 2 points at MAIN_ETCH (mean 22.46),2026-06-01 23:17:23
ALM-0002,LH-00054,LOT-260003,4,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R02_OOC,OOC,2,OOC 2 points at MAIN_ETCH (mean 21.496),2026-06-01 23:22:23
ALM-0003,LH-00058,LOT-260003,8,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R02_OOC,OOC,2,OOC 2 points at MAIN_ETCH (mean 21.962),2026-06-01 23:32:09
ALM-0004,LH-00060,LOT-260003,10,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R02_OOC,OOC,2,OOC 2 points at MAIN_ETCH (mean 19.679),2026-06-01 23:36:49
ALM-0005,LH-00072,LOT-260004,2,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R01_OOS,OOS,3,"OOS 3 points at MAIN_ETCH (mean 31.196, min 26.7, max 34.203)",2026-06-02 07:20:23
ALM-0006,LH-00074,LOT-260004,4,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R01_OOS,OOS,2,"OOS 2 points at MAIN_ETCH (mean 31.838, min 26.602, max 38.128)",2026-06-02 07:25:36
ALM-0007,LH-00076,LOT-260004,6,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R01_OOS,OOS,1,"OOS 1 points at MAIN_ETCH (mean 28.707, min 26.495, max 31.67)",2026-06-02 07:30:49
ALM-0008,LH-00076,LOT-260004,6,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R03_CONSEC,OOS,3,OOS for 3 consecutive WAFER at MAIN_ETCH,2026-06-02 07:30:49
ALM-0009,LH-00078,LOT-260004,8,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R01_OOS,OOS,1,"OOS 1 points at MAIN_ETCH (mean 28.119, min 23.074, max 33.119)",2026-06-02 07:35:44
ALM-0010,LH-00080,LOT-260004,10,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R01_OOS,OOS,2,"OOS 2 points at MAIN_ETCH (mean 28.308, min 22.289, max 34.047)",2026-06-02 07:40:26
ALM-0011,LH-00092,LOT-260005,2,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R01_OOS,OOS,3,"OOS 3 points at MAIN_ETCH (mean 37.439, min 26.919, max 43.386)",2026-06-02 15:19:49
ALM-0012,LH-00094,LOT-260005,4,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R01_OOS,OOS,4,"OOS 4 points at MAIN_ETCH (mean 40.868, min 36.347, max 45.832)",2026-06-02 15:24:38
ALM-0013,LH-00096,LOT-260005,6,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R01_OOS,OOS,4,"OOS 4 points at MAIN_ETCH (mean 39.416, min 34.439, max 43.617)",2026-06-02 15:29:45
ALM-0014,LH-00098,LOT-260005,8,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R01_OOS,OOS,4,"OOS 4 points at MAIN_ETCH (mean 40.038, min 36.551, max 43.982)",2026-06-02 15:34:43
ALM-0015,LH-00100,LOT-260005,10,ETC-01-C2,ETC-01,ET_REFL,1,MAIN_ETCH,R01_OOS,OOS,3,"OOS 3 points at MAIN_ETCH (mean 36.625, min 29.984, max 44.756)",2026-06-02 15:39:42
ALM-0016,LH-00101,LOT-260006,1,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R02_OOC,OOC,2,OOC 2 points at EXPOSE (mean 36.755),2026-06-02 22:38:32
ALM-0017,LH-00103,LOT-260006,3,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R02_OOC,OOC,2,OOC 2 points at EXPOSE (mean 36.027),2026-06-02 22:42:30
ALM-0018,LH-00109,LOT-260006,9,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R02_OOC,OOC,3,OOC 3 points at EXPOSE (mean 45.558),2026-06-02 22:54:15
ALM-0019,LH-00121,LOT-260007,1,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,1,"OOS 1 points at EXPOSE (mean 57.512, min 47.995, max 67.226)",2026-06-03 06:37:47
ALM-0020,LH-00123,LOT-260007,3,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,1,"OOS 1 points at EXPOSE (mean 56.776, min 44.616, max 69.377)",2026-06-03 06:41:45
ALM-0021,LH-00125,LOT-260007,5,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,1,"OOS 1 points at EXPOSE (mean 57.433, min 52.193, max 65.353)",2026-06-03 06:45:45
ALM-0022,LH-00125,LOT-260007,5,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R03_CONSEC,OOS,3,OOS for 3 consecutive WAFER at EXPOSE,2026-06-03 06:45:45
ALM-0023,LH-00127,LOT-260007,7,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,2,"OOS 2 points at EXPOSE (mean 70.121, min 56.816, max 79.859)",2026-06-03 06:49:46
ALM-0024,LH-00129,LOT-260007,9,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,1,"OOS 1 points at EXPOSE (mean 51.452, min 29.038, max 65.924)",2026-06-03 06:53:46
ALM-0025,LH-00141,LOT-260008,1,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,1,"OOS 1 points at EXPOSE (mean 57.533, min 50.323, max 64.16)",2026-06-03 14:39:36
ALM-0026,LH-00141,LOT-260008,1,PHO-01-C1,PHO-01,PH_FOCUS,2,DEVELOP,R02_OOC,OOC,2,OOC 2 points at DEVELOP (mean 42.95),2026-06-03 14:39:36
ALM-0027,LH-00143,LOT-260008,3,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,3,"OOS 3 points at EXPOSE (mean 84.701, min 68.756, max 98.029)",2026-06-03 14:43:36
ALM-0028,LH-00145,LOT-260008,5,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,2,"OOS 2 points at EXPOSE (mean 65.835, min 49.917, max 78.465)",2026-06-03 14:47:13
ALM-0029,LH-00147,LOT-260008,7,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,2,"OOS 2 points at EXPOSE (mean 70.403, min 56.276, max 91.671)",2026-06-03 14:51:08
ALM-0030,LH-00149,LOT-260008,9,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,2,"OOS 2 points at EXPOSE (mean 69.34, min 54.221, max 79.835)",2026-06-03 14:54:42
ALM-0031,LH-00153,LOT-260008,3,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R02_OOC,OOC,2,OOC 2 points at MAIN_ETCH (mean 76.934),2026-06-03 15:43:05
ALM-0032,LH-00155,LOT-260008,5,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R02_OOC,OOC,2,OOC 2 points at MAIN_ETCH (mean 76.306),2026-06-03 15:48:09
ALM-0033,LH-00157,LOT-260008,7,ETC-01-C1,ETC-01,ET_CF4,1,MAIN_ETCH,R02_OOC,OOC,2,OOC 2 points at MAIN_ETCH (mean 76.393),2026-06-03 15:52:49
ALM-0034,LH-00161,LOT-260009,1,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,3,"OOS 3 points at EXPOSE (mean 94.063, min 67.438, max 114.935)",2026-06-03 22:26:40
ALM-0035,LH-00161,LOT-260009,1,PHO-01-C1,PHO-01,PH_FOCUS,2,DEVELOP,R02_OOC,OOC,2,OOC 2 points at DEVELOP (mean 31.737),2026-06-03 22:26:40
ALM-0036,LH-00163,LOT-260009,3,PHO-01-C1,PHO-01,PH_FOCUS,1,EXPOSE,R01_OOS,OOS,3,"OOS 3 points at EXPOSE (mean 88.036, min 70.254, max 102.536)",2026-06-03 22:30:30
